N	Seq1	Seq2	Seq3	Seq4
701	583 | SA150_0583 | . | hypothetical protein | dir | [656530..656958]	601 | SA597_0601 | . | hypothetical protein | dir | [668332..668760]	592 | K8B78_03075 | . | hypothetical protein | dir | [660639..661067]	601 | HMPRNC0000_0721 | . | hypothetical protein | dir | [703126..703554]
702	584 | SA150_0584 | . | Acetyltransferase, GNAT family | rev | [657167..657673]	602 | SA597_0602 | . | Acetyltransferase, GNAT family | rev | [668971..669477]	593 | K8B78_03080 | . | GNAT family N-acetyltransferase | rev | [661265..661771]	602 | HMPRNC0000_0722 | . | Acetyltransferase, GNAT family | rev | [703763..704269]
703	585 | SA150_0585 | . | hypothetical protein | dir | [657786..658709]	603 | SA597_0603 | . | hypothetical protein | dir | [669590..670513]	594 | K8B78_03085 | graX | auxiliary protein GraX/ApsX | dir | [661884..662807]	603 | HMPRNC0000_0723 | . | hypothetical protein | dir | [704382..705305]
704	586 | SA150_0586 | . | Two-component response regulator BceR | dir | [658725..659399]	604 | SA597_0604 | . | Two-component response regulator BceR | dir | [670529..671203]	595 | K8B78_03090 | graR | response regulator transcription factor GraR/ApsR | dir | [662823..663497]	604 | HMPRNC0000_0724 | graR | Two-component response regulator BceR | dir | [705321..705995]
705	587 | SA150_0587 | . | Two-component sensor histidine kinase BceS | dir | [659392..660432]	605 | SA597_0605 | . | Two-component sensor histidine kinase BceS | dir | [671196..672236]	596 | K8B78_03095 | graS | histidine kinase GraS/ApsS | dir | [663490..664530]	605 | HMPRNC0000_0725 | graS | Two-component sensor histidine kinase BceS | dir | [705988..707028]
706	588 | SA150_0588 | . | Bacitracin export ATP-binding protein BceA | dir | [660576..661337]	606 | SA597_0606 | . | Bacitracin export ATP-binding protein BceA | dir | [672383..673144]	597 | K8B78_03100 | vraF | ABC transporter ATP-binding protein VraF | dir | [664677..665438]	606 | HMPRNC0000_0726 | vraF | Bacitracin export ATP-binding protein BceA | dir | [707172..707933]
707	589 | SA150_0589 | . | Bacitracin export permease protein BceB | dir | [661327..663216]	607 | SA597_0607 | . | Bacitracin export permease protein BceB | dir | [673134..675023]	598 | K8B78_03105 | . | ABC transporter permease | dir | [665428..667317]	607 | HMPRNC0000_0727 | vraG | Bacitracin export permease protein BceB | dir | [707923..709812]
708	590 | SA150_0590 | . | UPF0111 protein YkaA, likely to be a phosphate transport regulator | dir | [663941..664558]	608 | SA597_0608 | . | UPF0111 protein YkaA, likely to be a phosphate transport regulator | dir | [675641..676258]	599 | K8B78_03110 | . | DUF47 domain-containing protein | dir | [667933..668550]	608 | HMPRNC0000_0728 | . | UPF0111 protein YkaA | dir | [710537..711154]
709	591 | SA150_0591 | . | Probable low-affinity inorganic phosphate transporter | dir | [664574..665581]	609 | SA597_0609 | . | Probable low-affinity inorganic phosphate transporter | dir | [676274..677281]	600 | K8B78_03115 | . | inorganic phosphate transporter | dir | [668566..669573]	609 | HMPRNC0000_0729 | . | putative low-affinity inorganic phosphate transporter | dir | [711170..712177]
711	592 | SA150_0592 | . | Secretory antigen precursor SsaA | rev | [666168..666965]	610 | SA597_0610 | . | Secretory antigen precursor SsaA | rev | [677867..678664]	601 | K8B78_03120 | . | LysM peptidoglycan-binding domain-containing protein | rev | [670160..670957]	610 | HMPRNC0000_0730 | amiD7 | Secretory antigen precursor SsaA | rev | [712766..713563]
712	593 | SA150_0593 | . | hypothetical protein | dir | [667325..667969]	611 | SA597_0611 | . | hypothetical protein | dir | [679025..679669]	602 | K8B78_03125 | . | Bax inhibitor-1 family protein | dir | [671318..671962]	611 | HMPRNC0000_0731 | . | hypothetical protein | dir | [713924..714568]
714	595 | SA150_0595 | . | hypothetical protein | dir | [670896..671321]	613 | SA597_0613 | . | hypothetical protein | dir | [682596..683021]	604 | K8B78_03135 | sarX | HTH-type transcriptional regulator SarX | dir | [674942..675301]	613 | HMPRNC0000_0734 | sarX | MarR family transcriptional regulator | dir | [717495..717920]
715	596 | SA150_0596 | . | Transcriptional regulatory protein YeeN | dir | [671511..672227]	614 | SA597_0614 | . | Transcriptional regulatory protein YeeN | dir | [683211..683927]	605 | K8B78_03140 | . | YebC/PmpR family DNA-binding transcriptional regulator | dir | [675491..676207]	614 | HMPRNC0000_0735 | yeeN | Transcriptional regulatory protein YeeN | dir | [718110..718826]
716	597 | SA150_0597 | . | FIG018171: hypothetical protein of Cupin superfamily | dir | [672227..672700]	615 | SA597_0615 | . | FIG018171: hypothetical protein of Cupin superfamily | dir | [683927..684400]	606 | K8B78_03145 | . | cupin domain-containing protein | dir | [676207..676680]	615 | HMPRNC0000_0737 | . | Cupin superfamily protein | dir | [718826..719299]
718	599 | SA150_0599 | . | hypothetical protein | dir | [673053..673697]	616 | SA597_0616 | . | hypothetical protein | dir | [684753..685397]	608 | K8B78_03155 | . | DUF402 domain-containing protein | dir | [677033..677677]	616 | HMPRNC0000_0738 | . | hypothetical protein | dir | [719652..720296]
719	600 | SA150_0600 | . | Catabolite control protein E (CcpE), LysR family | dir | [673813..674679]	617 | SA597_0617 | . | Catabolite control protein E (CcpE), LysR family | dir | [685513..686379]	609 | K8B78_03160 | . | LysR family transcriptional regulator | dir | [677795..678661]	617 | HMPRNC0000_0739 | . | Catabolite control protein E (CcpE), LysR family | dir | [720572..721276]
720	601 | SA150_0601 | . | Sugar efflux transpoter | dir | [674740..675960]	618 | SA597_0618 | . | Sugar efflux transpoter | dir | [686741..687961]	610 | K8B78_03165 | . | sugar efflux transporter | dir | [678793..680013]	618 | HMPRNC0000_0740 | . | Sugar efflux transpoter | dir | [721494..722642]
721	602 | SA150_0602 | . | putative membrane protein | dir | [675957..676445]	619 | SA597_0619 | . | putative membrane protein | dir | [687958..688446]	611 | K8B78_03170 | . | DUF456 domain-containing protein | dir | [680010..680477]	619 | HMPRNC0000_0741 | . | putative membrane protein | dir | [722639..723127]
722	603 | SA150_0603 | . | hypothetical protein | rev | [676544..677233]	620 | SA597_0620 | . | hypothetical protein | rev | [688545..689234]	648 | K8B78_03355 | . | DUF1129 family protein | rev | [714467..715156]	620 | HMPRNC0000_0742 | . | hypothetical protein | rev | [723226..723915]
723	604 | SA150_0604 | . | hypothetical protein | dir | [677360..677803]	621 | SA597_0621 | . | hypothetical protein | dir | [689362..689805]	649 | K8B78_03360 | . | GNAT family N-acetyltransferase | dir | [715283..715726]	621 | HMPRNC0000_0743 | . | hypothetical protein | dir | [724042..724485]
725	606 | SA150_0606 | . | hypothetical protein | dir | [678403..678702]	623 | SA597_0623 | . | hypothetical protein | dir | [690399..690698]	651 | K8B78_03370 | . | hypothetical protein | dir | [716320..716619]	624 | HMPRNC0000_0746 | . | hypothetical protein | dir | [725077..725376]
726	607 | SA150_0607 | . | Acetyltransferase, GNAT family | dir | [678782..679324]	624 | SA597_0624 | . | Acetyltransferase, GNAT family | dir | [690778..691320]	652 | K8B78_03375 | . | GNAT family N-acetyltransferase | dir | [716699..717241]	625 | HMPRNC0000_0747 | . | Acetyltransferase, GNAT family | dir | [725454..725996]
727	608 | SA150_0608 | . | Lysine decarboxylase family | rev | [679420..679986]	625 | SA597_0625 | . | Lysine decarboxylase family | rev | [691415..691981]	653 | K8B78_03380 | . | TIGR00730 family Rossman fold protein | rev | [717336..717902]	626 | HMPRNC0000_0748 | . | Lysine decarboxylase family | rev | [726092..726658]
728	609 | SA150_0609 | . | hypothetical protein | rev | [679988..680446]	626 | SA597_0626 | . | hypothetical protein | rev | [691983..692441]	654 | K8B78_03385 | . | YaiI/YqxD family protein | rev | [717904..718362]	627 | HMPRNC0000_0749 | . | hypothetical protein | rev | [726660..727118]
729	610 | SA150_0610 | . | hypothetical protein | rev | [680449..681132]	627 | SA597_0627 | . | hypothetical protein | rev | [692444..693127]	655 | K8B78_03390 | . | hypothetical protein | rev | [718365..719048]	628 | HMPRNC0000_0750 | . | hypothetical protein | rev | [727121..727804]
730	611 | SA150_0611 | . | Undecaprenyl-diphosphatase (EC 3.6.1.27) | rev | [681304..682179]	628 | SA597_0628 | . | Undecaprenyl-diphosphatase (EC 3.6.1.27) | rev | [693299..694174]	656 | K8B78_03395 | . | undecaprenyl-diphosphate phosphatase | rev | [719220..720095]	629 | HMPRNC0000_0751 | uppP | Undecaprenyl-diphosphatase | rev | [728374..728850]
735	614 | SA150_0614 | . | Transcriptional regulator MgrA (Regulator of autolytic activity) | rev | [685826..686269]	631 | SA597_0631 | . | Transcriptional regulator MgrA (Regulator of autolytic activity) | rev | [697821..698264]	659 | K8B78_03410 | mgrA | HTH-type transcriptional regulator MgrA | rev | [723742..724185]	632 | HMPRNC0000_0754 | mgrA | Transcriptional regulator MgrA (Regulator of autolytic activity) | rev | [732496..732939]
737	615 | SA150_0615 | . | Metal chaperone, involved in Zn homeostasis | dir | [686496..687422]	632 | SA597_0632 | . | Metal chaperone, involved in Zn homeostasis | dir | [698491..699417]	660 | K8B78_03415 | . | GTP-binding protein | dir | [724412..725338]	633 | HMPRNC0000_0755 | . | Metal chaperone, involved in Zn homeostasis | dir | [733166..734092]
738	616 | SA150_0616 | . | Oxidoreductase YdhF | dir | [687525..688433]	633 | SA597_0633 | . | Oxidoreductase YdhF | dir | [699520..700428]	661 | K8B78_03420 | . | aldo/keto reductase family oxidoreductase | dir | [725441..726349]	634 | HMPRNC0000_0756 | . | Oxidoreductase YdhF | dir | [734195..735103]
739	617 | SA150_0617 | . | hypothetical protein | dir | [688468..688755]	634 | SA597_0634 | . | hypothetical protein | dir | [700463..700750]	662 | K8B78_03425 | . | hypothetical protein | dir | [726384..726671]	635 | HMPRNC0000_0757 | . | hypothetical protein | dir | [735138..735425]
740	618 | SA150_0618 | . | Sodium/di- and tricarboxylate cotransporter | dir | [689038..690591]	635 | SA597_0635 | . | Sodium/di- and tricarboxylate cotransporter | dir | [701032..702585]	663 | K8B78_03430 | . | anion permease | dir | [726954..728507]	636 | HMPRNC0000_0758 | . | Sodium/di- and tricarboxylate cotransporter | dir | [735708..737261]
741	619 | SA150_0619 | . | Deoxyribodipyrimidine photolyase (EC 4.1.99.3) | dir | [690677..692050]	636 | SA597_0636 | . | Deoxyribodipyrimidine photolyase (EC 4.1.99.3) | dir | [702671..704044]	664 | K8B78_03435 | . | DNA photolyase family protein | dir | [728593..729966]	637 | HMPRNC0000_0760 | phrB | Deoxyribodipyrimidine photolyase | dir | [737347..738720]
745	620 | SA150_0620 | . | hypothetical protein | rev | [692205..692489]	637 | SA597_0637 | . | hypothetical protein | rev | [704199..704483]	665 | K8B78_03440 | . | hypothetical protein | rev | [730121..730405]	638 | HMPRNC0000_0762 | . | hypothetical protein | rev | [738875..739159]
746	621 | SA150_0621 | . | hypothetical protein | rev | [692486..693103]	638 | SA597_0638 | . | hypothetical protein | rev | [704480..705097]	666 | K8B78_03445 | . | DUF1361 domain-containing protein | rev | [730402..731019]	639 | HMPRNC0000_0763 | . | hypothetical protein | rev | [739156..739773]
748	622 | SA150_0622 | . | hypothetical protein | rev | [693289..693711]	639 | SA597_0639 | . | hypothetical protein | rev | [705284..705706]	667 | K8B78_03450 | . | DNA-binding protein | rev | [731206..731628]	640 | HMPRNC0000_0764 | . | hypothetical protein | rev | [739959..740381]
749	623 | SA150_0623 | . | MFS-type transporter quinolone resistance protein NorA | dir | [693920..695086]	640 | SA597_0640 | . | MFS-type transporter quinolone resistance protein NorA | dir | [705915..707081]	668 | K8B78_03455 | norA | multidrug efflux MFS transporter NorA | dir | [731838..733004]	641 | HMPRNC0000_0765 | norA | MFS-type transporter quinolone resistance protein NorA | dir | [740590..741756]
753	624 | SA150_0624 | . | hypothetical protein | dir | [695379..695831]	641 | SA597_0641 | . | hypothetical protein | dir | [707378..707830]	669 | K8B78_03460 | . | hypothetical protein | dir | [733301..733753]	642 | HMPRNC0000_0767 | . | hypothetical protein | dir | [742049..742501]
754	625 | SA150_0625 | . | Cys-tRNA(Pro) deacylase YbaK | dir | [696010..696492]	642 | SA597_0642 | . | Cys-tRNA(Pro) deacylase YbaK | dir | [708004..708486]	670 | K8B78_03465 | ybaK | Cys-tRNA(Pro) deacylase | dir | [733927..734409]	643 | HMPRNC0000_0768 | ybaK | Cys-tRNA(Pro) deacylase YbaK | dir | [742938..743156]
757	626 | SA150_0626 | . | Transcriptional repressor of the fructose operon, DeoR family | dir | [696742..697506]	643 | SA597_0643 | . | Transcriptional repressor of the fructose operon, DeoR family | dir | [708735..709499]	671 | K8B78_03470 | . | DeoR/GlpR family DNA-binding transcription regulator | dir | [734659..735423]	644 | HMPRNC0000_0769 | lacR2 | Transcriptional repressor of the fructose operon, DeoR family | dir | [743406..744170]
759	627 | SA150_0627 | . | 1-phosphofructokinase (EC 2.7.1.56) | dir | [697503..698423]	644 | SA597_0644 | . | 1-phosphofructokinase (EC 2.7.1.56) | dir | [709496..710416]	672 | K8B78_03475 | pfkB | 1-phosphofructokinase | dir | [735420..736340]	645 | HMPRNC0000_0771 | pfkB | 1-phosphofructokinase | dir | [744167..745087]
762	628 | SA150_0628 | . | PTS system, fructose-specific IIA component (EC 2.7.1.202) / PTS system, fructose-specific IIB component (EC 2.7.1.202) / PTS system, fructose-specific IIC component | dir | [698429..700387]	645 | SA597_0645 | . | PTS system, fructose-specific IIA component (EC 2.7.1.202) / PTS system, fructose-specific IIB component (EC 2.7.1.202) / PTS system, fructose-specific IIC component | dir | [710422..712386]	673 | K8B78_03480 | . | fructose-specific PTS transporter subunit EIIC | dir | [736346..738304]	646 | HMPRNC0000_0772 | fruA | PTS system, fructose-specific IIA/IIB/IIC component | dir | [745093..747051]
764	629 | SA150_0629 | . | N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25) | dir | [700695..701876]	646 | SA597_0646 | . | N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25) | dir | [712693..713874]	674 | K8B78_03485 | nagA | N-acetylglucosamine-6-phosphate deacetylase | dir | [738607..739788]	647 | HMPRNC0000_0773 | nagA | N-acetylglucosamine-6-phosphate deacetylase | dir | [747359..748540]
765	630 | SA150_0630 | . | Hemolysins and related proteins containing CBS domains | dir | [702096..703445]	647 | SA597_0647 | . | Hemolysins and related proteins containing CBS domains | dir | [714095..715444]	675 | K8B78_03490 | . | hemolysin family protein | dir | [740009..741358]	648 | HMPRNC0000_0774 | . | hemolysin | dir | [748761..750110]
766	631 | SA150_0631 | . | oxidoreductase of aldo/keto reductase family, subgroup 1 | dir | [703667..704506]	648 | SA597_0648 | . | oxidoreductase of aldo/keto reductase family, subgroup 1 | dir | [715666..716505]	676 | K8B78_03495 | . | aldo/keto reductase | dir | [741572..742411]	649 | HMPRNC0000_0775 | dkgB2 | oxidoreductase of aldo/keto reductase family, subgroup 1 | dir | [750332..751171]
768	632 | SA150_0632 | . | CsbB stress response protein | dir | [704638..705621]	649 | SA597_0649 | . | CsbB stress response protein | dir | [716637..717620]	677 | K8B78_03500 | csbB | lipoteichoic acid-specific glycosylation protein CsbB | dir | [742543..743526]	650 | HMPRNC0000_0776 | . | CsbB stress response protein | dir | [751303..752286]
769	633 | SA150_0633 | . | Sensor histidine protein kinase SaeS (EC 2.7.13.3) (exoprotein expression protein S) | rev | [705693..706748]	650 | SA597_0650 | . | Sensor histidine protein kinase SaeS (EC 2.7.13.3) (exoprotein expression protein S) | rev | [717692..718747]	678 | K8B78_03505 | saeS | two-component system sensor histidine kinase SaeS | rev | [743598..744653]	651 | HMPRNC0000_0777 | saeS | Sensor histidine protein kinase SaeS (exoprotein expression protein S) | rev | [752358..753413]
770	634 | SA150_0634 | . | Response regulator SaeR (Staphylococcus exoprotein expression protein R) | rev | [706748..707416]	651 | SA597_0651 | . | Response regulator SaeR (Staphylococcus exoprotein expression protein R) | rev | [718747..719433]	679 | K8B78_03510 | saeR | response regulator transcription factor SaeR | rev | [744653..745339]	652 | HMPRNC0000_0778 | saeR | Response regulator SaeR, exoprotein expression protein R | rev | [753413..754081]
771	635 | SA150_0635 | . | hypothetical protein | rev | [707409..707882]	652 | SA597_0652 | . | hypothetical protein | rev | [719408..719881]	680 | K8B78_03515 | . | DoxX family protein | rev | [745314..745787]	653 | HMPRNC0000_0779 | . | hypothetical protein | rev | [754074..754547]
772	636 | SA150_0636 | . | hypothetical protein | rev | [708224..708664]	653 | SA597_0653 | . | hypothetical protein | rev | [720222..720662]	681 | K8B78_03520 | . | DM13 domain-containing protein | rev | [746129..746569]	654 | HMPRNC0000_0780 | . | hypothetical protein | rev | [754889..755329]
773	637 | SA150_0637 | . | hypothetical protein | rev | [708944..709528]	654 | SA597_0654 | . | hypothetical protein | rev | [720942..721526]	682 | K8B78_03525 | . | hypothetical protein | rev | [746849..747433]	655 | HMPRNC0000_0783 | . | hypothetical protein | rev | [755601..756185]
774	638 | SA150_0638 | . | 7-carboxy-7-deazaguanine synthase (EC 4.3.99.3) | rev | [709627..710340]	655 | SA597_0655 | . | 7-carboxy-7-deazaguanine synthase (EC 4.3.99.3) | rev | [721625..722338]	683 | K8B78_03530 | queE | 7-carboxy-7-deazaguanine synthase QueE | rev | [747532..748245]	656 | HMPRNC0000_0784 | queE | 7-carboxy-7-deazaguanine synthase | rev | [756284..756997]
775	639 | SA150_0639 | . | 6-carboxy-5,6,7,8-tetrahydropterin synthase (EC 4.1.2.50) | rev | [710344..710763]	656 | SA597_0656 | . | 6-carboxy-5,6,7,8-tetrahydropterin synthase (EC 4.1.2.50) | rev | [722342..722761]	684 | K8B78_03535 | queD | 6-carboxytetrahydropterin synthase QueD | rev | [748249..748668]	657 | HMPRNC0000_0785 | queD | 6-carboxy-5,6,7,8-tetrahydropterin synthase | rev | [757001..757420]
776	640 | SA150_0640 | . | 7-cyano-7-deazaguanine synthase (EC 6.3.4.20) | rev | [710765..711433]	657 | SA597_0657 | . | 7-cyano-7-deazaguanine synthase (EC 6.3.4.20) | rev | [722763..723431]	685 | K8B78_03540 | queC | 7-cyano-7-deazaguanine synthase QueC | rev | [748670..749338]	658 | HMPRNC0000_0786 | exsB | 7-cyano-7-deazaguanine synthase | rev | [757422..758090]
777	641 | SA150_0641 | . | Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85) | dir | [711784..712377]	658 | SA597_0658 | . | Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85) | dir | [723782..724375]	686 | K8B78_03545 | . | aminodeoxychorismate/anthranilate synthase component II | dir | [749689..750282]	659 | HMPRNC0000_0787 | pabA | Para-aminobenzoate synthase, amidotransferase component | dir | [758441..759034]
778	642 | SA150_0642 | . | Para-aminobenzoate synthase, aminase component (EC 2.6.1.85) | dir | [712361..713512]	659 | SA597_0659 | . | Para-aminobenzoate synthase, aminase component (EC 2.6.1.85) | dir | [724359..725510]	687 | K8B78_03550 | . | anthranilate synthase component I family protein | dir | [750266..751417]	660 | HMPRNC0000_0788 | pabB | Para-aminobenzoate synthase, aminase component | dir | [759018..760169]
779	643 | SA150_0643 | . | Aminodeoxychorismate lyase (EC 4.1.3.38) | dir | [713512..714120]	660 | SA597_0660 | . | Aminodeoxychorismate lyase (EC 4.1.3.38) | dir | [725510..726118]	688 | K8B78_03555 | . | aminotransferase class IV | dir | [751417..752025]	661 | HMPRNC0000_0789 | . | Aminodeoxychorismate lyase | dir | [760169..760777]
781	645 | SA150_0645 | . | Allophanate hydrolase 2 subunit 1 (EC 3.5.1.54) | dir | [714481..715191]	661 | SA597_0661 | . | Allophanate hydrolase 2 subunit 1 (EC 3.5.1.54) | dir | [726483..727193]	690 | K8B78_03565 | . | allophanate hydrolase subunit 1 | dir | [752385..753095]	662 | HMPRNC0000_0790 | . | Allophanate hydrolase 2 subunit 1 | dir | [761137..761847]
782	646 | SA150_0646 | . | Allophanate hydrolase 2 subunit 2 (EC 3.5.1.54) | dir | [715175..716179]	662 | SA597_0662 | . | Allophanate hydrolase 2 subunit 2 (EC 3.5.1.54) | dir | [727177..728181]	691 | K8B78_03570 | . | biotin-dependent carboxyltransferase family protein | dir | [753079..754083]	663 | HMPRNC0000_0791 | . | Allophanate hydrolase 2 subunit 2 | dir | [761831..762835]
783	647 | SA150_0647 | . | Lipoteichoic acid synthase LtaS Type Ib | dir | [716653..718593]	663 | SA597_0663 | . | Lipoteichoic acid synthase LtaS Type Ib | dir | [728655..730595]	692 | K8B78_03575 | ltaS | polyglycerol-phosphate lipoteichoic acid synthase LtaS | dir | [754557..756497]	664 | HMPRNC0000_0792 | ltaS | Lipoteichoic acid synthase LtaS Type Ib | dir | [763309..765249]
784	648 | SA150_0648 | . | Bis-ABC ATPase Uup | dir | [718870..720747]	664 | SA597_0664 | . | Bis-ABC ATPase Uup | dir | [730872..732749]	693 | K8B78_03580 | . | ABC-F family ATP-binding cassette domain-containing protein | dir | [756769..758652]	665 | HMPRNC0000_0794 | . | Bis-ABC ATPase Uup | dir | [765525..767402]
785	649 | SA150_0649 | . | ATP-dependent DNA helicase RecQ | dir | [720759..722540]	665 | SA597_0665 | . | ATP-dependent DNA helicase RecQ | dir | [732761..734542]	694 | K8B78_03585 | recQ | DNA helicase RecQ | dir | [758664..760445]	666 | HMPRNC0000_0795 | recQ | ATP-dependent DNA helicase RecQ | dir | [767414..769195]
786	650 | SA150_0650 | . | Glycine betaine ABC transport system, ATP-binding protein OpuAA (EC 3.6.3.32) | dir | [722762..723739]	666 | SA597_0666 | . | Glycine betaine ABC transport system, ATP-binding protein OpuAA (EC 3.6.3.32) | dir | [734763..735740]	695 | K8B78_03590 | . | ABC transporter ATP-binding protein | dir | [760666..761643]	667 | HMPRNC0000_0797 | opuCA | Glycine betaine ABC transport system, ATP-binding protein OpuAA | dir | [769417..770394]
787	651 | SA150_0651 | . | Glycine betaine ABC transport system, permease protein OpuAB / Glycine betaine ABC transport system, glycine betaine-binding protein OpuAC | dir | [723732..725246]	667 | SA597_0667 | . | Glycine betaine ABC transport system, permease protein OpuAB / Glycine betaine ABC transport system, glycine betaine-binding protein OpuAC | dir | [735733..737247]	696 | K8B78_03595 | . | ABC transporter permease/substrate-binding protein | dir | [761636..763150]	668 | HMPRNC0000_0799 | opuBB | Glycine betaine ABC transport system, permease protein OpuAB | dir | [770387..771901]
789	652 | SA150_0652 | . | Biosynthetic Aromatic amino acid aminotransferase beta (EC 2.6.1.57) | dir | [725486..726544]	668 | SA597_0668 | . | Biosynthetic Aromatic amino acid aminotransferase beta (EC 2.6.1.57) | dir | [737487..738545]	697 | K8B78_03600 | hisC | histidinol-phosphate transaminase | dir | [763390..764448]	669 | HMPRNC0000_0800 | hisC | Biosynthetic Aromatic amino acid aminotransferase beta | dir | [772141..773199]
790	653 | SA150_0653 | . | Putative 5'(3')-deoxyribonucleotidase (EC 3.1.3.-) | dir | [726839..727381]	669 | SA597_0669 | . | Putative 5'(3')-deoxyribonucleotidase (EC 3.1.3.-) | dir | [738703..739251]	698 | K8B78_03605 | . | 5'(3')-deoxyribonucleotidase | dir | [764607..765149]	670 | HMPRNC0000_0802 | . | Putative 5'(3')-deoxyribonucleotidase | dir | [773494..774036]
791	654 | SA150_0654 | . | Transcription regulator [contains diacylglycerol kinase catalytic domain] | rev | [728062..728979]	670 | SA597_0670 | . | Transcription regulator [contains diacylglycerol kinase catalytic domain] | rev | [739996..740913]	699 | K8B78_03610 | . | diacylglycerol kinase family lipid kinase | rev | [765701..766618]	671 | HMPRNC0000_0803 | bmrU | Transcription regulator (contains diacylglycerol kinase catalytic domain) | rev | [774716..775633]
792	655 | SA150_0655 | . | Di-tripeptide/cation symporter DtpT | rev | [729249..730754]	671 | SA597_0671 | . | Di-tripeptide/cation symporter DtpT | rev | [741183..742688]	701 | K8B78_03620 | . | peptide MFS transporter | rev | [766888..768393]	672 | HMPRNC0000_0804 | . | Di-tripeptide/cation symporter DtpT | rev | [775902..777407]
793	656 | SA150_0656 | . | NADPH-dependent 7-cyano-7-deazaguanine reductase (EC 1.7.1.13) | rev | [731095..731595]	672 | SA597_0672 | . | NADPH-dependent 7-cyano-7-deazaguanine reductase (EC 1.7.1.13) | rev | [743029..743529]	702 | K8B78_03625 | queF | preQ(1) synthase | rev | [768733..769233]	673 | HMPRNC0000_0805 | queF | NADPH-dependent 7-cyano-7-deazaguanine reductase | rev | [777748..778248]
794	657 | SA150_0657 | . | Permease of the drug/metabolite transporter (DMT) superfamily | rev | [731615..732481]	673 | SA597_0673 | . | Permease of the drug/metabolite transporter (DMT) superfamily | rev | [743549..744415]	703 | K8B78_03630 | . | DMT family transporter | rev | [769253..770119]	674 | HMPRNC0000_0806 | . | Permease of the drug/metabolite transporter (DMT) superfamily | rev | [778268..779134]
795	658 | SA150_0658 | . | Ribonucleotide reduction protein NrdI | dir | [733282..733680]	674 | SA597_0674 | . | Ribonucleotide reduction protein NrdI | dir | [745217..745615]	704 | K8B78_03635 | nrdI | class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI | dir | [770921..771319]	675 | HMPRNC0000_0807 | nrdI | Ribonucleotide reduction protein NrdI | dir | [779935..780333]
796	659 | SA150_0659 | . | Ribonucleotide reductase of class Ib (aerobic), alpha subunit (EC 1.17.4.1) | dir | [733643..735748]	675 | SA597_0675 | . | Ribonucleotide reductase of class Ib (aerobic), alpha subunit (EC 1.17.4.1) | dir | [745578..747683]	705 | K8B78_03640 | nrdE | class 1b ribonucleoside-diphosphate reductase subunit alpha | dir | [771282..773387]	676 | HMPRNC0000_0808 | nrdE | Ribonucleotide reductase of class Ib (aerobic), alpha subunit | dir | [780296..782401]
797	660 | SA150_0660 | . | Ribonucleotide reductase of class Ib (aerobic), beta subunit (EC 1.17.4.1) | dir | [735866..736837]	676 | SA597_0676 | . | Ribonucleotide reductase of class Ib (aerobic), beta subunit (EC 1.17.4.1) | dir | [747801..748772]	706 | K8B78_03645 | nrdF | class 1b ribonucleoside-diphosphate reductase subunit beta | dir | [773507..774478]	677 | HMPRNC0000_0809 | nrdF | Ribonucleotide reductase of class Ib (aerobic), beta subunit | dir | [782519..783490]
798	661 | SA150_0661 | . | Iron compound ABC uptake transporter permease protein | dir | [737212..738183]	677 | SA597_0677 | . | Iron compound ABC uptake transporter permease protein | dir | [749147..750118]	707 | K8B78_03650 | . | ABC transporter permease | dir | [774855..775826]	678 | HMPRNC0000_0810 | ceuB | Iron compound ABC uptake transporter permease protein | dir | [784155..785168]
799	662 | SA150_0662 | . | Iron compound ABC uptake transporter permease protein | dir | [738170..739126]	678 | SA597_0678 | . | Iron compound ABC uptake transporter permease protein | dir | [750105..751061]	708 | K8B78_03655 | . | iron chelate uptake ABC transporter family permease subunit | dir | [775813..776769]	679 | HMPRNC0000_0811 | . | Iron compound ABC uptake transporter permease protein | dir | [785155..786111]
800	663 | SA150_0663 | . | Iron compound ABC uptake transporter ATP-binding protein | dir | [739123..739884]	679 | SA597_0679 | . | Iron compound ABC uptake transporter ATP-binding protein | dir | [751058..751819]	709 | K8B78_03660 | . | ABC transporter ATP-binding protein | dir | [776766..777527]	680 | HMPRNC0000_0812 | . | Iron compound ABC uptake transporter ATP-binding protein | dir | [786108..786869]
801	664 | SA150_0664 | . | Iron compound ABC uptake transporter substrate-binding protein | dir | [740003..741031]	680 | SA597_0680 | . | Iron compound ABC uptake transporter substrate-binding protein | dir | [751934..752962]	710 | K8B78_03665 | . | siderophore ABC transporter substrate-binding protein | dir | [777642..778670]	681 | HMPRNC0000_0813 | . | Iron compound ABC uptake transporter substrate-binding protein | dir | [786988..788016]
802	665 | SA150_0665 | . | hypothetical protein | rev | [741348..741662]	681 | SA597_0681 | . | hypothetical protein | rev | [753279..753593]	711 | K8B78_03670 | . | hypothetical protein | rev | [778987..779301]	682 | HMPRNC0000_0814 | . | hypothetical protein | rev | [788333..788647]
